DistID,District,Bedrooms,Bathrooms,Price,Size,Url
5,Chamartín,1,1,780000,96,http://www.idealista.com/37634329
4,Salamanca,3,2,650000,112,http://www.idealista.com/37467296
4,Salamanca,3,2,1200000,173,http://www.idealista.com/37407277
4,Salamanca,3,3,849000,129,http://www.idealista.com/37328659
4,Salamanca,3,3,849000,130,http://www.idealista.com/37327612
4,Salamanca,4,4,1975000,287,http://www.idealista.com/37327494
7,Chamberí,5,2,680000,170,http://www.idealista.com/37317055
4,Salamanca,4,4,1400000,196,http://www.idealista.com/37264479
1,Centro,1,1,339000,74,http://www.idealista.com/37235888
4,Salamanca,3,1,670000,94,http://www.idealista.com/37203762
5,Chamartín,4,3,2500000,369,http://www.idealista.com/37110440
5,Chamartín,4,4,1300000,280,http://www.idealista.com/37004357
4,Salamanca,3,2,760000,112,http://www.idealista.com/36982463
5,Chamartín,4,4,1650000,328,http://www.idealista.com/36961365
3,Retiro,4,3,2250000,250,http://www.idealista.com/36815730
3,Retiro,3,3,2250000,240,http://www.idealista.com/36525344
9,Moncloa,5,5,1400000,400,http://www.idealista.com/36511409
5,Chamartín,4,4,1200000,270,http://www.idealista.com/36160792
9,Moncloa,4,4,1298000,390,http://www.idealista.com/36132918
5,Chamartín,2,1,1150000,142,http://www.idealista.com/36027267
9,Moncloa,7,7,1490000,500,http://www.idealista.com/35804191
3,Retiro,3,3,2400000,306,http://www.idealista.com/35706442
7,Chamberí,3,5,2800000,343,http://www.idealista.com/35628945
5,Chamartín,4,4,2350000,367,http://www.idealista.com/35542950
9,Moncloa,5,5,975000,400,http://www.idealista.com/35368050
9,Moncloa,3,4,700000,143,http://www.idealista.com/35268487
4,Salamanca,5,3,2700000,312,http://www.idealista.com/32375408
5,Chamartín,4,2,799000,200,http://www.idealista.com/34860754
4,Salamanca,2,3,2100000,222,http://www.idealista.com/34763943
7,Chamberí,7,9,3995000,517,http://www.idealista.com/34439388
16,Hortaleza,4,5,1500000,366,http://www.idealista.com/34373015
4,Salamanca,4,3,1650000,236,http://www.idealista.com/30652229
9,Moncloa,5,5,2550000,740,http://www.idealista.com/34105830
4,Salamanca,4,4,2650000,357,http://www.idealista.com/33702183
5,Chamartín,4,3,1000000,199,http://www.idealista.com/33670939
1,Centro,3,2,780000,235,http://www.idealista.com/33570405
4,Salamanca,5,2,870000,220,http://www.idealista.com/33503969
5,Chamartín,4,2,1850000,215,http://www.idealista.com/33451780
16,Hortaleza,5,5,1600000,400,http://www.idealista.com/32422023
4,Salamanca,5,4,1875000,369,http://www.idealista.com/31643770
4,Salamanca,2,2,1800000,150,http://www.idealista.com/31454684
7,Chamberí,4,4,3000000,428,http://www.idealista.com/31317297
7,Chamberí,6,3,2500000,340,http://www.idealista.com/538324
4,Salamanca,5,4,1200000,260,http://www.idealista.com/37418094
5,Chamartín,4,4,2800000,470,http://www.idealista.com/38516013
9,Moncloa,4,3,580000,300,http://www.idealista.com/34152258
4,Salamanca,4,3,1675000,205,http://www.idealista.com/38229830
5,Chamartín,5,5,1590000,480,http://www.idealista.com/28097473
4,Salamanca,4,3,2200000,300,http://www.idealista.com/30848663
4,Salamanca,4,5,2650000,357,http://www.idealista.com/38788671
4,Salamanca,2,2,1600000,750,http://www.idealista.com/30175582
2,Arganzuela,3,2,460000,124,http://www.idealista.com/38366991
2,Arganzuela,2,1,386000,113,http://www.idealista.com/38955739
7,Chamberí,1,1,373000,107,http://www.idealista.com/38145998
3,Retiro,2,1,252000,71,http://www.idealista.com/38944027
4,Salamanca,3,2,595000,135,http://www.idealista.com/38785968
1,Centro,3,1,420000,99,http://www.idealista.com/38297616
5,Chamartín,5,2,639000,150,http://www.idealista.com/38097997
4,Salamanca,4,4,1100000,216,http://www.idealista.com/36822440
4,Salamanca,1,1,270000,50,http://www.idealista.com/38387491
7,Chamberí,5,2,595000,152,http://www.idealista.com/37644715
3,Retiro,1,1,340000,86,http://www.idealista.com/35785349
15,Ciudad Lineal,4,3,845000,190,http://www.idealista.com/35501394
8,Fuencarral,5,6,1750000,430,http://www.idealista.com/34701110
5,Chamartín,3,2,461500,118,http://www.idealista.com/38492701
9,Moncloa,3,1,179000,80,http://www.idealista.com/37949100
5,Chamartín,5,4,1600000,328,http://www.idealista.com/36175821
16,Hortaleza,2,2,420000,83,http://www.idealista.com/36982383
16,Hortaleza,5,6,1900000,600,http://www.idealista.com/26524926
19,Vicálvaro,3,2,250000,106,http://www.idealista.com/38910785
3,Retiro,3,2,510000,105,http://www.idealista.com/38820138
7,Chamberí,3,1,390000,78,http://www.idealista.com/38690343
16,Hortaleza,6,4,1550000,403,http://www.idealista.com/36305827
4,Salamanca,3,3,960000,222,http://www.idealista.com/38842076
7,Chamberí,3,2,1270000,218,http://www.idealista.com/38679835
5,Chamartín,3,3,1180000,200,http://www.idealista.com/36317844
7,Chamberí,3,3,2525000,278,http://www.idealista.com/31481939
